D,Glc,b,0.530 ,OClAc,OAc,OClAc,OTBS
D,GlcNAc,a,0.532 ,N3,OH,OClAc,OTBS
D,Man,a,0.535 ,OBz,OAc,OAc,OClAc
D,GlcNAc,a,0.537 ,N3,OAc,OTBS,OClAc
D,Man,a,0.538 ,OAc,OTIPS,OClAc,OAc
D,GlcNAc,a,0.539 ,N3,OClAc,OClAc,OTBDPS
D,GlcNAc,a,0.541 ,N3,NO2Bz,NO2Bz,OClAc
D,Glc,b,0.542 ,NO2Bz,OClAc,OClAc,OBz
D,Man,a,0.543 ,NO2Bz,OClAc,OAc,OBz
D,Glc,b,0.545 ,NO2Bz,NO2Bz,NO2Bz,NO2Bz
D,GlcNAc,a,0.546 ,N3,OAc,OClAc,OTBDPS
D,Man,a,0.555 ,NO2Bz,NO2Bz,NO2Bz,OBz
D,GlcNAc,a,0.555 ,N3,OBz,OBz,OBz
D,Man,a,0.556 ,NO2Bz,OAc,OClAc,OBz
D,Man,a,0.559 ,OBz,OClAc,OAc,OClAc
D,GalNAc,a,0.567 ,N3,OAc,OAc,OTIPS
D,GlcNAc,a,0.568 ,N3,OTIPS,OAc,OClAc
D,Man,a,0.569 ,OClAc,OTIPS,OClAc,OAc
D,Man,a,0.570 ,OClAc,OTBS,OAc,OClAc
D,Man,a,0.572 ,OAc,OClAc,OClAc,OClAc
D,Man,a,0.578 ,OClAc,OAc,OClAc,OClAc
D,Man,a,0.582 ,OClAc,OAc,OTBS,OClAc
D,Glc,b,0.588 ,OAc,OAc,OAc,OTBS
D,Man,a,0.589 ,NO2Bz,OClAc,NO2Bz,OAc
D,Glc,b,0.589 ,NO2Bz,OBz,OClAc,OBz
D,Glc,a,0.598 ,OH,NO2Bz,OBz,OBz
D,Glc,b,0.599 ,NO2Bz,NO2Bz,NO2Bz,OH
D,Man,a,0.599 ,OAc,OTIPS,OAc,OAc
D,Man,a,0.599 ,OAc,OAc,OClAc,OClAc
D,GlcNAc,a,0.601 ,N3,OAc,OAc,OTBDPS
D,Man,a,0.601 ,OBz,NO2Bz,OBz,OBz
D,GlcNAc,a,0.603 ,N3,OClAc,OTIPS,OClAc
D,Man,a,0.605 ,NO2Bz,NO2Bz,OClAc,OClAc
D,GlcNAc,a,0.606 ,N3,OH,OClAc,OTBDPS
D,GalNAc,a,0.609 ,N3,OTBDPS,OAc,OH
D,Glc,b,0.619 ,OAc,OClAc,OClAc,OTIPS
D,Glc,b,0.625 ,NO2Bz,OBz,NO2Bz,OBz
D,Glc,b,0.632 ,OBz,NO2Bz,NO2Bz,NO2Bz
D,Man,a,0.633 ,NO2Bz,OAc,NO2Bz,OAc
D,GlcNAc,a,0.636 ,N3,OH,OAc,OTBS
D,Man,a,0.637 ,OAc,OAc,OAc,OClAc
D,Man,a,0.640 ,NO2Bz,OBz,OClAc,OBz
D,Man,a,0.648 ,NO2Bz,NO2Bz,OAc,OClAc
D,GalNAc,a,0.649 ,N3,OH,OClAc,OTIPS
D,Man,a,0.650 ,OBz,OAc,OClAc,OClAc
D,GlcNAc,a,0.651 ,N3,OTIPS,OClAc,OAc
D,Glc,b,0.651 ,NO2Bz,OClAc,OAc,OBz
D,Man,a,0.661 ,NO2Bz,NO2Bz,NO2Bz,NO2Bz
D,GlcNAc,b,0.663 ,NPhth,OTBS,OClAc,OH
D,GalNAc,a,0.664 ,N3,OAc,OAc,OTBS
D,Man,a,0.664 ,OH,OClAc,OAc,OTBS
D,Glc,b,0.666 ,NO2Bz,OAc,OClAc,OBz
D,GlcNAc,a,0.666 ,N3,OH,OAc,OTBDPS
D,Man,a,0.668 ,OAc,NO2Bz,OClAc,OBz
D,GlcNAc,a,0.668 ,N3,OTBS,OAc,OAc
D,Glc,b,0.671 ,NO2Bz,OClAc,NO2Bz,OAc
D,Man,a,0.671 ,OClAc,OAc,OAc,OClAc
D,Man,a,0.672 ,OBn,OClAc,OAc,OClAc
D,Glc,a,0.692 ,OH,NO2Bz,NO2Bz,NO2Bz
D,Man,a,0.694 ,OH,OClAc,OClAc,OTBS
D,Glc,b,0.694 ,OBz,NO2Bz,OBz,NO2Bz
D,Man,a,0.699 ,OClAc,NO2Bz,NO2Bz,OBz
D,Man,a,0.701 ,OClAc,OClAc,OAc,OClAc
D,Glc,b,0.704 ,OClAc,OTBDPS,OAc,OH
D,Man,a,0.704 ,OBz,OAc,OAc,OAc
D,Glc,b,0.704 ,OClAc,NO2Bz,NO2Bz,OBz
D,Glc,b,0.707 ,NO2Bz,NO2Bz,OClAc,OClAc
D,Man,a,0.712 ,OAc,OAc,OTIPS,OClAc
D,Glc,b,0.714 ,NO2Bz,OAc,NO2Bz,OAc
D,Man,a,0.719 ,OClAc,OClAc,OClAc,OAc
D,Glc,b,0.719 ,OAc,OClAc,OAc,OTIPS
D,Glc,b,0.722 ,NO2Bz,NO2Bz,OClAc,OBz
D,Man,a,0.722 ,OBz,OClAc,OAc,OAc
D,GlcNAc,a,0.722 ,N3,NO2Bz,OAc,OBz
D,Man,a,0.723 ,NO2Bz,NO2Bz,NO2Bz,OH
D,Glc,a,0.725 ,OH,NO2Bz,NO2Bz,OBz
D,GlcNAc,b,0.726 ,NPhth,OClAc,OClAc,OClAc
D,Man,a,0.726 ,OBn,OAc,OAc,OClAc
D,Man,a,0.730 ,NO2Bz,NO2Bz,OClAc,OBz
D,Glc,b,0.731 ,NO2Bz,OTIPS,NO2Bz,OH
D,Glc,b,0.735 ,NO2Bz,OBn,NO2Bz,OClAc
D,Man,a,0.736 ,OClAc,NO2Bz,OClAc,OBz
D,GlcNAc,a,0.738 ,N3,OTBDPS,OBz,OH
D,Man,a,0.739 ,OAc,OClAc,OClAc,OAc
D,Man,a,0.741 ,OBn,OAc,OClAc,OClAc
D,Glc,b,0.742 ,NO2Bz,OBz,NO2Bz,OAc
D,Glc,b,0.745 ,OBz,NO2Bz,NO2Bz,OBz
D,GlcNAc,b,0.745 ,NPhth,OTBS,OAc,OH
D,Man,a,0.746 ,OH,NO2Bz,OBz,OBz
D,Glc,b,0.749 ,NO2Bz,NO2Bz,OBz,NO2Bz
D,GlcNAc,a,0.756 ,N3,OClAc,NO2Bz,NO2Bz
D,GlcNAc,a,0.756 ,N3,OAc,OTIPS,OClAc
D,Man,a,0.758 ,OClAc,OAc,OClAc,OAc
D,Man,a,0.760 ,OAc,OBn,OClAc,OClAc
D,Man,a,0.761 ,OAc,OClAc,OAc,OClAc
D,Glc,b,0.763 ,OClAc,OTBDPS,OClAc,OH
D,GalNAc,a,0.768 ,N3,OClAc,OAc,OTBDPS
D,Glc,b,0.769 ,OClAc,OAc,OAc,OTIPS
D,Man,a,0.770 ,OLev,OClAc,OClAc,OClAc
D,Man,a,0.771 ,NO2Bz,OTIPS,NO2Bz,OH
D,Man,a,0.772 ,OAc,OClAc,OTBS,OAc
D,Man,a,0.774 ,NO2Bz,OAc,OAc,OBz
D,Glc,b,0.776 ,NO2Bz,NO2Bz,OAc,OClAc
D,Man,a,0.776 ,OBz,OTBS,OClAc,OH
D,Man,a,0.779 ,OClAc,NO2Bz,OAc,OBz
D,Glc,b,0.783 ,OAc,OTBDPS,OAc,OH
D,Man,a,0.784 ,OBz,NO2Bz,NO2Bz,NO2Bz
D,Man,a,0.785 ,NO2Bz,OBz,NO2Bz,OBz
D,GalNAc,a,0.790 ,N3,OH,OAc,OTIPS
D,GlcNAc,a,0.793 ,N3,OTBS,OBz,OH
D,Man,a,0.794 ,NO2Bz,OBn,NO2Bz,OClAc
D,GlcNAc,a,0.796 ,N3,NO2Bz,NO2Bz,OTBS
D,Man,a,0.797 ,NO2Bz,OAc,NO2Bz,OClAc
D,GalNAc,a,0.798 ,N3,OTBS,OClAc,OH
D,GlcNAc,b,0.800 ,NPhth,OTIPS,OClAc,OH
D,GlcNAc,a,0.800 ,N3,NO2Bz,OClAc,NO2Bz
D,Man,a,0.803 ,OAc,OClAc,OAc,OAc
D,Glc,b,0.805 ,OAc,OTBDPS,OClAc,OH
D,Glc,b,0.808 ,NO2Bz,NO2Bz,NO2Bz,OAc
D,Glc,b,0.813 ,OClAc,OClAc,OAc,OTIPS
D,GlcNAc,a,0.813 ,N3,OClAc,NO2Bz,OBz
D,Man,a,0.814 ,OBz,OClAc,OClAc,OAc
D,Man,a,0.823 ,NO2Bz,OClAc,OClAc,OClAc
D,Man,a,0.824 ,OClAc,OAc,OAc,OAc
D,GlcNAc,a,0.825 ,N3,OTIPS,OBz,OH
D,Man,a,0.826 ,OAc,NO2Bz,OAc,OBz
D,Man,a,0.827 ,NO2Bz,OBz,NO2Bz,OAc
D,Man,a,0.830 ,NO2Bz,NO2Bz,NO2Bz,OAc
D,Man,a,0.831 ,OAc,OAc,OClAc,OAc
D,Man,a,0.832 ,OClAc,OClAc,OAc,OAc
D,Man,a,0.836 ,OBz,OClAc,OBz,OClAc
D,Glc,b,0.836 ,OAc,NO2Bz,OClAc,OBz
D,Man,a,0.837 ,NO2Bz,NO2Bz,OClAc,OAc
D,Man,a,0.838 ,OAc,NO2Bz,NO2Bz,OClAc
D,Man,a,0.839 ,OH,OAc,OClAc,OTBS
D,Man,a,0.845 ,OClAc,OClAc,OClAc,OBz
D,Man,a,0.846 ,OClAc,OAc,OTBS,OAc
D,Glc,b,0.847 ,OBz,OClAc,OClAc,OClAc
D,Man,a,0.848 ,OBz,OClAc,OAc,OTBS
D,Man,a,0.851 ,OBz,OAc,OClAc,OAc
D,GlcNAc,a,0.852 ,N3,OBn,OClAc,OTBS
D,GlcNAc,a,0.852 ,N3,OClAc,OTIPS,OAc
D,Man,a,0.854 ,NO2Bz,NO2Bz,OBz,OClAc
D,Glc,b,0.855 ,OClAc,OClAc,OClAc,OClAc
D,Glc,b,0.857 ,NO2Bz,NO2Bz,OBz,OH
D,GalNAc,a,0.858 ,N3,OTBS,OClAc,OClAc
D,GlcNAc,a,0.858 ,N3,OLev,OClAc,OTBS
D,Man,a,0.859 ,OClAc,NO2Bz,NO2Bz,OClAc
D,Man,a,0.860 ,OH,NO2Bz,NO2Bz,NO2Bz
D,Glc,b,0.868 ,NO2Bz,NO2Bz,OBz,OClAc
D,Glc,b,0.869 ,OClAc,OClAc,OClAc,OTIPS
D,Man,a,0.871 ,OClAc,OBn,OClAc,OClAc
D,Man,a,0.874 ,OBz,NO2Bz,OBz,NO2Bz
D,Man,a,0.879 ,OAc,OClAc,OTIPS,OClAc
D,GalNAc,a,0.881 ,N3,OClAc,OClAc,OTBDPS
D,Man,a,0.885 ,OH,NO2Bz,NO2Bz,OBz
D,Glc,b,0.891 ,OClAc,OTBS,OClAc,OClAc
D,Man,a,0.892 ,OH,OAc,OAc,OTBS
D,GalNAc,a,0.896 ,N3,OAc,OClAc,OTBDPS
D,Man,a,0.899 ,OH,NO2Bz,OClAc,OBz
D,Glc,b,0.900 ,OClAc,NO2Bz,OClAc,OBz
D,Man,a,0.900 ,OBz,NO2Bz,NO2Bz,OBz
D,GalNAc,a,0.905 ,N3,OTBS,OAc,OH
D,Glc,b,0.907 ,NO2Bz,OBz,OAc,OBz
